ID_Empleado;Nombre;Apellido;Fecha_Nacimiento,Genero;Area;Salario;Fecha_Comienzo;Fecha_Finalizacion;Fecha_Promocion;Tipo;Edad;Email
00-1222963;Tobiah;Fruchon;1991-10-17;mujer;Services;138757;2011-02-13;NULL;NULL;Hibrido;32;Tobiah_Fr_Ser@consulting.com
00-1268049;Fay;Monnelly;1966-07-09;hombre;Engineering;111994;2010-02-24;2030-03-21;NULL;Hibrido;57;Fay_Mo_Eng@consulting.com
00-1277358;Lola;Burrells;1973-10-02;hombre;Human Resources;132408;2008-03-08;2024-10-09;NULL;Remoto;50;Lola_Bu_Hum@consulting.com
00-1284831;Hamel;Edgeler;1973-12-22;hombre;Human Resources;152256;2001-08-08;2007-10-31;NULL;Hibrido;50;Hamel_Ed_Hum@consulting.com
00-1331085;Shalne;Berntssen;1979-05-20;mujer;Business Development;132654;2008-12-19;NULL;NULL;Remoto;44;Shalne_Be_Bus@consulting.com
00-1418617;Nefen;Russan;1997-02-18;mujer;Training;120834;2007-01-21;NULL;NULL;Remoto;27;Nefen_Ru_Tra@consulting.com
00-1451930;Woodie;Hayhow;1995-01-18;mujer;Engineering;170827;2001-08-04;NULL;NULL;Remoto;29;Woodie_Ha_Eng@consulting.com
00-1485605;"L;urette";Stango;1991-04-13;hombre;Training;124715;2016-11-29;NULL;NULL;Hibrido;32;"L;urette_St_Tra@consulting.com"
00-1499371;Claude;Ales0;1984-04-29;mujer;Sales;126534;2014-03-31;NULL;NULL;Remoto;39;Claude_Al_Sal@consulting.com
00-1557949;Virginia;Teligin;1982-12-25;mujer;Engineering;119752;2014-06-27;NULL;NULL;Hibrido;41;Virginia_Te_Eng@consulting.com
00-1695354;Starr;Yitzhok;1998-04-11;mujer;Training;99040;2011-07-14;NULL;NULL;Remoto;25;Starr_Yi_Tra@consulting.com
00-1722938;Perla;Durrand;1976-03-11;hombre;Sales;178809;2014-01-01;2023-01-10;NULL;Remoto;47;Perla_Du_Sal@consulting.com
00-1728402;Mahala;McTrustie;1974-06-07;mujer;Business Development;118730;2015-04-15;NULL;NULL;Hibrido;49;Mahala_Mc_Bus@consulting.com
00-1735797;Hobart;Bertrand;1997-03-22;mujer;Business Development;129612;2019-09-17;NULL;NULL;Hibrido;26;Hobart_Be_Bus@consulting.com
00-1792130;Nobe;Leathe;1993-07-23;hombre;Engineering;174045;2011-01-23;2024-12-07;NULL;Remoto;30;Nobe_Le_Eng@consulting.com
00-1830166;Peta;Gosson;1975-06-02;mujer;Human Resources;146252;2007-06-02;NULL;NULL;Remoto;48;Peta_Go_Hum@consulting.com
00-1861400;Ninnette;Batter;1993-03-11;hombre;Business Development;152349;2008-02-04;NULL;NULL;Remoto;30;Ninnette_Ba_Bus@consulting.com
00-1877605;Bibbie;Matteoli;1997-06-18;hombre;Support;74632;2008-05-05;2024-03-02;NULL;Remoto;26;Bibbie_Ma_Sup@consulting.com
00-1892609;Averell;Paintain;1971-10-25;mujer;Research and Development;118943;2013-01-02;NULL;NULL;Remoto;52;Averell_Pa_Res@consulting.com
00-1954462;Marcel;Fowkes;1993-06-18;hombre;Accounting;123127;2008-07-20;NULL;NULL;Remoto;30;Marcel_Fo_Acc@consulting.com
00-1957612;Artus;Cawcutt;1970-02-28;mujer;Services;110278;2005-07-08;2012-08-01;NULL;Remoto;54;Artus_Ca_Ser@consulting.com
00-2010536;Emili;Cowl;1978-05-10;hombre;Engineering;160528;2009-07-30;NULL;NULL;Hibrido;45;Emili_Co_Eng@consulting.com
00-2209303;Edeline;Painten;1978-03-16;hombre;Services;172415;2011-01-17;NULL;NULL;Remoto;45;Edeline_Pa_Ser@consulting.com
00-2228674;Meggi;Mc Ilory;1987-09-09;hombre;Training;152355;2005-11-30;NULL;NULL;Remoto;36;Meggi_Mc_Tra@consulting.com
00-2229651;Giordano;Muckian;1984-08-21;mujer;Business Development;126833;2004-04-11;NULL;NULL;Hibrido;39;Giordano_Mu_Bus@consulting.com
00-2260658;Nickolas;Coopey;1978-05-21;hombre;Support;135192;2001-01-02;NULL;NULL;Hibrido;45;Nickolas_Co_Sup@consulting.com
00-2301130;Corrina;Blooman;1971-10-19;mujer;Services;155224;2013-07-28;NULL;NULL;Hibrido;52;Corrina_Bl_Ser@consulting.com
00-2334565;Odey;Brough;1992-12-19;hombre;Engineering;143824;2011-08-27;NULL;NULL;Hibrido;31;Odey_Br_Eng@consulting.com
00-2367299;Lenka;Astridge;2000-12-01;hombre;Human Resources;134657;2019-08-13;NULL;NULL;Hibrido;23;Lenka_As_Hum@consulting.com
00-2509034;Gunar;Dinkin;1988-11-27;hombre;Training;109088;2017-12-19;NULL;NULL;Hibrido;35;Gunar_Di_Tra@consulting.com
00-2607971;Gale;Dreossi;1972-06-16;hombre;Auditing;74124;2006-02-02;2018-07-01;NULL;Remoto;51;Gale_Dr_Aud@consulting.com
00-2623755;Chrysa;Brownell;1983-04-25;hombre;Engineering;150586;2018-02-22;2027-02-01;NULL;Remoto;40;Chrysa_Br_Eng@consulting.com
00-2637590;Britte;Royds;1980-03-06;hombre;Training;84336;2016-05-05;NULL;NULL;Hibrido;43;Britte_Ro_Tra@consulting.com
00-2682864;Bil;Wanden;1982-06-28;hombre;Engineering;101508;2009-02-24;NULL;NULL;Remoto;41;Bil_Wa_Eng@consulting.com
00-2704725;Ronda;Dictus;1975-11-28;mujer;Training;139256;2003-12-07;NULL;NULL;Remoto;48;Ronda_Di_Tra@consulting.com
00-2709445;Loree;Neno;1977-01-16;mujer;Research and Development;87404;2017-04-26;NULL;NULL;Hibrido;47;Loree_Ne_Res@consulting.com
00-2773154;Teena;Tolan;1992-09-11;hombre;Human Resources;88845;2014-02-11;NULL;NULL;Remoto;31;Teena_To_Hum@consulting.com
00-2861998;Karine;Seage;1966-09-07;hombre;Training;112030;2017-08-12;NULL;NULL;Remoto;57;Karine_Se_Tra@consulting.com
00-2874422;Diandra;Bourget;1971-04-06;hombre;Human Resources;133999;2003-07-26;2015-01-14;NULL;Remoto;52;Diandra_Bo_Hum@consulting.com
00-2889513;Dodi;Caves;1999-07-05;hombre;Business Development;85942;2004-11-16;NULL;NULL;Hibrido;24;Dodi_Ca_Bus@consulting.com
00-2950779;Hyman;Dancey;1981-04-23;mujer;Training;179502;2015-06-10;NULL;NULL;Hibrido;42;Hyman_Da_Tra@consulting.com
00-3008455;Rourke;Dawkins;1969-09-26;hombre;Business Development;81067;2007-10-28;NULL;NULL;Hibrido;54;Rourke_Da_Bus@consulting.com
00-3020430;Northrup;Arendt;2001-12-01;hombre;Services;181268;2011-09-06;NULL;NULL;Hibrido;22;Northrup_Ar_Ser@consulting.com
00-3030708;Guntar;Arro;1997-04-22;mujer;Business Development;147374;2020-11-16;NULL;NULL;Remoto;26;Guntar_Ar_Bus@consulting.com
00-3052411;Midge;Orpyne;1984-01-04;mujer;Engineering;121893;2010-07-21;NULL;NULL;Hibrido;40;Midge_Or_Eng@consulting.com
00-3105004;Isador;Crady;1968-06-08;mujer;Training;171873;2020-11-19;NULL;NULL;Remoto;55;Isador_Cr_Tra@consulting.com
00-3135807;Nichol;Dionisii;1994-08-28;mujer;Business Development;153741;2017-02-19;NULL;NULL;Remoto;29;Nichol_Di_Bus@consulting.com
00-3138749;Dorey;Diperaus;1978-12-20;hombre;Sales;80905;2006-04-06;NULL;NULL;Remoto;45;Dorey_Di_Sal@consulting.com
00-3208324;Lanie;Plewes;1992-07-25;mujer;Support;103460;2008-03-01;NULL;NULL;Hibrido;31;Lanie_Pl_Sup@consulting.com
00-3214670;Mahmoud;De L'Isle;1990-09-04;hombre;Accounting;97531;2010-03-06;NULL;NULL;Hibrido;33;Mahmoud_De_Acc@consulting.com
00-3217869;Carlynne;Gouldthorpe;1968-04-11;mujer;Accounting;93766;2009-08-17;NULL;NULL;Remoto;55;Carlynne_Go_Acc@consulting.com
00-3334414;Modesta;Lanktree;1997-02-13;mujer;Engineering;118405;2002-04-30;NULL;NULL;Hibrido;27;Modesta_La_Eng@consulting.com
00-3341718;Tildie;Ranvoise;1982-08-13;hombre;Engineering;92899;2007-08-21;NULL;NULL;Remoto;41;Tildie_Ra_Eng@consulting.com
00-3389894;Tallulah;Dowty;1983-01-26;hombre;Engineering;75079;2006-02-02;NULL;NULL;Remoto;41;Tallulah_Do_Eng@consulting.com
00-3402094;Addie;Coldman;2002-07-10;mujer;Engineering;184325;2011-09-25;NULL;NULL;Hibrido;21;Addie_Co_Eng@consulting.com
00-3457300;Eleanore;Pudner;1996-12-13;mujer;Engineering;114513;2002-02-28;NULL;NULL;Remoto;27;Eleanore_Pu_Eng@consulting.com
00-3492248;Carlene;Goldwater;1975-01-19;mujer;Business Development;66760;2019-02-25;NULL;NULL;Hibrido;49;Carlene_Go_Bus@consulting.com
00-3597335;Amara;Jacobs;1982-06-14;hombre;Sales;86754;2006-02-07;NULL;NULL;Remoto;41;Amara_Ja_Sal@consulting.com
00-3679205;Heall;Conville;1994-05-08;hombre;Training;93624;2010-11-12;NULL;NULL;Remoto;29;Heall_Co_Tra@consulting.com
00-3739286;Jake;Dawdry;1993-02-26;hombre;Engineering;147458;2019-09-30;NULL;NULL;Hibrido;31;Jake_Da_Eng@consulting.com
00-3744044;Maribelle;Bisson;1998-06-22;mujer;Training;108538;2016-01-21;NULL;NULL;Hibrido;25;Maribelle_Bi_Tra@consulting.com
00-3758963;Calypso;Connold;1984-09-27;mujer;Business Development;131425;2001-11-22;NULL;NULL;Hibrido;39;Calypso_Co_Bus@consulting.com
00-3855769;Tanitansy;Fancett;1995-05-30;mujer;Human Resources;90354;2005-10-31;NULL;NULL;Hibrido;28;Tanitansy_Fa_Hum@consulting.com
00-3860994;Allyce;Giacobazzi;1969-04-04;hombre;Marketing;100936;2019-12-27;2022-12-26;NULL;Remoto;54;Allyce_Gi_Mar@consulting.com
00-3961040;Filberte;Morant;1977-10-27;hombre;Engineering;180378;2002-03-06;NULL;NULL;Hibrido;46;Filberte_Mo_Eng@consulting.com
00-3964552;Sergei;Glidden;1996-02-15;hombre;Product Management;101912;2016-11-04;NULL;NULL;Hibrido;28;Sergei_Gl_Pro@consulting.com
00-3987484;Chelsy;Clacey;1991-09-12;mujer;Training;104211;2006-01-30;2021-07-23;NULL;Hibrido;32;Chelsy_Cl_Tra@consulting.com
00-4123013;Romy;Sandever;1969-01-20;hombre;Research and Development;159712;2011-08-12;NULL;NULL;Remoto;55;Romy_Sa_Res@consulting.com
00-4202411;Rorie;Rice;1982-03-13;hombre;Engineering;114677;2014-07-16;NULL;NULL;Hibrido;41;Rorie_Ri_Eng@consulting.com
00-4254147;Karel;Gullen;1993-12-18;hombre;Sales;95319;2013-03-08;NULL;NULL;Hibrido;30;Karel_Gu_Sal@consulting.com
00-4259069;Marcela;Bostock;1979-01-09;hombre;Engineering;76586;2005-01-01;NULL;NULL;Hibrido;45;Marcela_Bo_Eng@consulting.com
00-4464648;Agretha;Brunning;1978-02-15;mujer;Engineering;105639;2017-04-28;NULL;NULL;Remoto;46;Agretha_Br_Eng@consulting.com
00-4481784;Willdon;Pirozzi;1997-03-28;mujer;Support;125642;2016-03-12;NULL;NULL;Hibrido;26;Willdon_Pi_Sup@consulting.com
00-4521988;Paddie;Mallebone;1967-11-22;hombre;Human Resources;165021;2016-07-04;NULL;NULL;Remoto;56;Paddie_Ma_Hum@consulting.com
00-4585118;Karina;Slocum;1993-09-19;mujer;Services;91542;2018-12-23;NULL;NULL;Hibrido;30;Karina_Sl_Ser@consulting.com
00-4609499;Gun;Heathorn;1978-10-30;hombre;Services;119007;2015-12-25;NULL;NULL;Hibrido;45;Gun_He_Ser@consulting.com
00-4634919;Dario;Renshall;1971-01-07;mujer;Accounting;176947;2011-04-10;NULL;NULL;Hibrido;53;Dario_Re_Acc@consulting.com
00-4767568;Bartholemy;Schutter;1975-09-27;hombre;Services;109279;2009-07-06;NULL;NULL;Remoto;48;Bartholemy_Sc_Ser@consulting.com
00-4872960;Gamaliel;McRoberts;1978-11-10;hombre;Accounting;169540;2019-12-30;NULL;NULL;Remoto;45;Gamaliel_Mc_Acc@consulting.com
00-4890880;Demetre;Chaulk;1977-03-20;hombre;Sales;178594;2014-03-05;NULL;NULL;Remoto;46;Demetre_Ch_Sal@consulting.com
00-4971801;Temple;Banasevich;1991-05-14;mujer;Engineering;131359;2020-10-11;NULL;NULL;Hibrido;32;Temple_Ba_Eng@consulting.com
00-5033764;Gabie;Olivier;1976-12-25;hombre;Engineering;155030;2005-06-23;NULL;NULL;Hibrido;47;Gabie_Ol_Eng@consulting.com
00-5045552;Carlen;Bruhnke;1990-08-06;hombre;Engineering;119193;2016-07-18;NULL;NULL;Remoto;33;Carlen_Br_Eng@consulting.com
00-5070457;Nathaniel;Coolahan;1998-12-02;mujer;Accounting;84675;2003-07-22;NULL;NULL;Remoto;25;Nathaniel_Co_Acc@consulting.com
00-5137192;Sarajane;Price;1970-01-28;hombre;Accounting;180400;2016-05-24;NULL;NULL;Hibrido;54;Sarajane_Pr_Acc@consulting.com
00-5155617;Hadria;Pallasch;1987-04-13;hombre;Engineering;98277;2016-12-02;NULL;NULL;Hibrido;36;Hadria_Pa_Eng@consulting.com
00-5175297;Bethina;Mathissen;1966-01-24;mujer;Engineering;154164;2001-12-23;2012-03-28;NULL;Hibrido;58;Bethina_Ma_Eng@consulting.com
00-5221572;Joshua;Rubinsohn;1976-04-05;hombre;Services;180107;2006-07-12;NULL;NULL;Hibrido;47;Joshua_Ru_Ser@consulting.com
00-5273292;Philippa;Garrod;1986-09-14;mujer;Product Management;110784;2012-03-29;NULL;NULL;Hibrido;37;Philippa_Ga_Pro@consulting.com
00-5421994;Sile;Schultheiss;1986-01-23;mujer;Accounting;103290;2012-12-10;2021-10-28;NULL;Remoto;38;Sile_Sc_Acc@consulting.com
00-5614221;Conroy;Vickars;1969-08-28;hombre;Business Development;153512;2008-01-03;NULL;NULL;Hibrido;54;Conroy_Vi_Bus@consulting.com
00-5623981;Roscoe;Swindells;1979-04-28;mujer;Accounting;174120;2012-12-22;NULL;NULL;Hibrido;44;Roscoe_Sw_Acc@consulting.com
00-5649238;Antonietta;Obal;1977-11-03;hombre;Engineering;173686;2003-02-13;2008-06-24;NULL;Remoto;46;Antonietta_Ob_Eng@consulting.com
00-5687686;Yettie;Swanborough;1993-07-03;hombre;Sales;98038;2001-03-22;NULL;NULL;Hibrido;30;Yettie_Sw_Sal@consulting.com
00-5880378;Dannie;Thornton-Dewhirst;2000-10-18;mujer;Accounting;151416;2002-12-12;2019-05-30;NULL;Remoto;23;Dannie_Th_Acc@consulting.com
00-5895027;Nessy;Shute;1982-04-05;hombre;Engineering;100069;2004-04-13;NULL;NULL;Remoto;41;Nessy_Sh_Eng@consulting.com
00-5909899;Louise;Domingues;1977-04-26;hombre;Research and Development;102872;2014-04-05;NULL;NULL;Remoto;46;Louise_Do_Res@consulting.com
00-5917185;Frasquito;Frape;1972-08-02;hombre;Engineering;125066;2002-06-29;2012-08-16;NULL;Remoto;51;Frasquito_Fr_Eng@consulting.com
00-5955583;Leonie;Bridgeman;1997-11-17;hombre;Training;92378;2009-04-11;NULL;NULL;Remoto;26;Leonie_Br_Tra@consulting.com
00-5958157;Marijn;Shotboulte;1984-07-11;hombre;Accounting;84983;2017-09-16;NULL;NULL;Remoto;39;Marijn_Sh_Acc@consulting.com
00-5965019;Gertrud;Jeavon;1987-06-11;mujer;Research and Development;141441;2008-03-14;NULL;NULL;Remoto;36;Gertrud_Je_Res@consulting.com
00-5992394;Gordie;Mariaud;1990-07-24;hombre;Accounting;121775;2011-05-29;NULL;NULL;Hibrido;33;Gordie_Ma_Acc@consulting.com
00-5993032;Corrinne;Very;1991-05-27;hombre;Research and Development;86661;2005-06-21;2015-03-23;NULL;Hibrido;32;Corrinne_Ve_Res@consulting.com
00-6077710;Frank;Sikorsky;1998-02-10;hombre;Engineering;77945;2007-08-01;NULL;NULL;Hibrido;26;Frank_Si_Eng@consulting.com
00-6093562;Linoel;Berrecloth;1973-07-19;hombre;Engineering;141146;2006-11-06;NULL;NULL;Hibrido;50;Linoel_Be_Eng@consulting.com
00-6114236;Lucias;Sworder;1997-03-01;hombre;Engineering;167127;2007-10-31;NULL;NULL;Hibrido;26;Lucias_Sw_Eng@consulting.com
00-6163624;Malvina;Mc Grath;2001-09-12;hombre;Engineering;129922;2005-05-17;2009-11-03;NULL;Hibrido;22;Malvina_Mc_Eng@consulting.com
00-6172539;Joanne;Jacob;1974-04-13;mujer;Engineering;106650;2003-02-03;NULL;NULL;Remoto;49;Joanne_Ja_Eng@consulting.com
00-6252646;Yves;Yurivtsev;1990-09-19;hombre;Human Resources;179943;2019-07-13;NULL;NULL;Remoto;33;Yves_Yu_Hum@consulting.com
00-6338870;Curtice;Kidgell;1980-03-14;mujer;Engineering;67616;2018-03-18;2023-03-24;NULL;Remoto;43;Curtice_Ki_Eng@consulting.com
00-6371948;Ruby;O'Duilleain;1986-05-10;mujer;Business Development;139305;2008-09-07;2012-01-09;NULL;Remoto;37;Ruby_O'_Bus@consulting.com
00-6420231;Joseito;Walaron;1975-05-16;hombre;Services;182319;2006-11-02;NULL;NULL;Remoto;48;Joseito_Wa_Ser@consulting.com
00-6460144;Helli;Hothersall;1990-01-24;hombre;Engineering;87548;2012-06-22;NULL;NULL;Remoto;34;Helli_Ho_Eng@consulting.com
00-6479395;Aura;Steagall;1978-07-19;hombre;Accounting;164594;2013-03-28;2030-02-23;NULL;Remoto;45;Aura_St_Acc@consulting.com
00-6565696;Flory;Ibbitt;1968-03-09;mujer;Human Resources;160270;2009-08-13;2014-06-03;NULL;Hibrido;55;Flory_Ib_Hum@consulting.com
00-6609229;Leontine;Rammell;1986-08-15;mujer;Product Management;98878;2001-11-10;NULL;NULL;Hibrido;37;Leontine_Ra_Pro@consulting.com
00-6666091;Carly;Everall;1966-12-25;mujer;Support;141114;2004-01-11;NULL;NULL;Remoto;57;Carly_Ev_Sup@consulting.com
00-6675478;Reginald;Gosker;1979-10-13;mujer;Engineering;133844;2020-10-17;NULL;NULL;Hibrido;44;Reginald_Go_Eng@consulting.com
00-6722855;Kimmi;Moff;1996-03-08;hombre;Engineering;146729;2001-04-04;NULL;NULL;Hibrido;27;Kimmi_Mo_Eng@consulting.com
00-6768311;Adina;Marcq;1991-01-16;mujer;Engineering;128676;2007-12-18;NULL;NULL;Remoto;33;Adina_Ma_Eng@consulting.com
00-6790860;Enrica;Cohalan;1994-01-23;mujer;Engineering;147439;2009-04-26;NULL;NULL;Hibrido;30;Enrica_Co_Eng@consulting.com
00-6792940;Valera;Hannent;1993-02-14;hombre;Engineering;182104;2017-05-29;NULL;NULL;Hibrido;31;Valera_Ha_Eng@consulting.com
00-6797967;Albrecht;Geffinger;1980-01-18;mujer;Sales;171215;2018-11-19;NULL;NULL;Hibrido;44;Albrecht_Ge_Sal@consulting.com
00-6804149;Orsa;Pafford;1994-12-25;hombre;Human Resources;174195;2001-12-21;NULL;NULL;Hibrido;29;Orsa_Pa_Hum@consulting.com
00-6902222;Pall;Snedker;1969-04-07;hombre;Support;115852;2009-10-04;2014-01-31;NULL;Remoto;54;Pall_Sn_Sup@consulting.com
00-6974128;Eilis;Byford;1966-05-07;hombre;Engineering;86523;2014-11-04;NULL;NULL;Remoto;57;Eilis_By_Eng@consulting.com
00-7012064;Maridel;Canario;1990-11-17;hombre;Engineering;149261;2018-08-18;NULL;NULL;Remoto;33;Maridel_Ca_Eng@consulting.com
00-7043366;Mellie;Hariot;1983-11-25;mujer;Engineering;72130;2013-02-06;NULL;NULL;Remoto;40;Mellie_Ha_Eng@consulting.com
00-7080550;Stefan;Orht;1988-03-01;hombre;Business Development;109170;2018-04-04;NULL;NULL;Hibrido;35;Stefan_Or_Bus@consulting.com
00-7080839;Bertie;La Batie;1991-12-04;hombre;Services;118723;2016-06-12;NULL;NULL;Remoto;32;Bertie_La_Ser@consulting.com
00-7102476;Cammy;Bleakman;1983-08-12;hombre;Accounting;163199;2003-05-06;NULL;NULL;Hibrido;40;Cammy_Bl_Acc@consulting.com
00-7374971;Theodor;Perot;1989-09-11;hombre;Engineering;141898;2009-06-13;NULL;NULL;Remoto;34;Theodor_Pe_Eng@consulting.com
00-7494159;Lu;Larive;1999-08-13;mujer;Human Resources;135078;2004-05-31;2010-12-03;NULL;Hibrido;24;Lu_La_Hum@consulting.com
00-7507889;Marietta;Marieton;1995-03-30;hombre;Human Resources;124199;2008-07-31;NULL;NULL;Remoto;28;Marietta_Ma_Hum@consulting.com
00-7598768;Monte;How to preserve;1972-10-20;mujer;Engineering;87788;2016-10-16;NULL;NULL;Remoto;51;Monte_Ho_Eng@consulting.com
00-7685590;Emanuele;Scotts;1986-10-19;hombre;Engineering;157506;2019-08-26;NULL;NULL;Remoto;37;Emanuele_Sc_Eng@consulting.com
00-7693501;Kiley;Ricci;1972-03-15;mujer;Training;149623;2003-08-03;NULL;NULL;Remoto;51;Kiley_Ri_Tra@consulting.com
00-7726076;Pavel;Corsor;1976-02-14;mujer;Services;154864;2017-02-02;NULL;NULL;Remoto;48;Pavel_Co_Ser@consulting.com
00-7766529;Nikaniki;Nurdin;1995-06-28;hombre;Accounting;68439;2019-06-29;NULL;NULL;Remoto;28;Nikaniki_Nu_Acc@consulting.com
00-7800396;Siward;Phelipeaux;1981-03-29;hombre;Business Development;115788;2003-02-09;2016-01-11;NULL;Remoto;42;Siward_Ph_Bus@consulting.com
00-7802037;Kaylee;Lambdin;1965-11-01;mujer;Engineering;174420;2003-03-09;NULL;NULL;Remoto;58;Kaylee_La_Eng@consulting.com
00-7925080;Chrisy;Risen;1985-07-23;mujer;Engineering;175768;2011-02-03;2018-06-05;NULL;Remoto;38;Chrisy_Ri_Eng@consulting.com
00-8010185;Tab;Lissemore;2000-11-25;mujer;Business Development;157628;2005-12-03;2012-02-21;NULL;Remoto;23;Tab_Li_Bus@consulting.com
00-8113601;Rem;Hassey;1995-05-23;hombre;Accounting;134748;2008-05-29;NULL;NULL;Remoto;28;Rem_Ha_Acc@consulting.com
00-8203294;Brianna;Dudin;1988-02-15;mujer;Engineering;121704;2017-12-18;NULL;NULL;Remoto;36;Brianna_Du_Eng@consulting.com
00-8230593;Sheppard;Klosges;1992-10-25;hombre;Product Management;174964;2010-08-22;2017-12-30;NULL;Hibrido;31;Sheppard_Kl_Pro@consulting.com
00-8250034;Karlen;Duckworth;1981-11-03;hombre;Human Resources;81548;2010-05-19;2023-01-17;NULL;Hibrido;42;Karlen_Du_Hum@consulting.com
00-8270076;Raphaela;Clowney;1971-11-02;hombre;Engineering;141259;2010-03-06;2030-08-03;NULL;Remoto;52;Raphaela_Cl_Eng@consulting.com
00-8302867;Idalia;Sherborne;1968-04-21;mujer;Services;168491;2016-07-07;2028-03-12;NULL;Hibrido;55;Idalia_Sh_Ser@consulting.com
00-8320940;Terence;MacConnechie;1965-10-26;hombre;Engineering;177085;2004-08-11;NULL;NULL;Remoto;58;Terence_Ma_Eng@consulting.com
00-8429312;Shane;Ousbie;1966-12-12;hombre;Training;168549;2005-07-04;NULL;NULL;Hibrido;57;Shane_Ou_Tra@consulting.com
00-8477498;Cammi;Yakebovitch;1965-11-15;hombre;Research and Development;176576;2004-01-04;NULL;NULL;Hibrido;58;Cammi_Ya_Res@consulting.com
00-8477624;Tomkin;Di Ruggiero;1993-10-24;hombre;Sales;109998;2010-02-18;NULL;NULL;Remoto;30;Tomkin_Di_Sal@consulting.com
00-8527252;Leanor;Gemnett;1974-07-31;hombre;Sales;117267;2013-07-20;NULL;NULL;Hibrido;49;Leanor_Ge_Sal@consulting.com
00-8536569;Sterling;Prue;1966-03-28;mujer;Human Resources;152763;2004-03-22;2005-03-23;NULL;Hibrido;57;Sterling_Pr_Hum@consulting.com
00-8541630;Loydie;Platts;1970-07-20;hombre;Human Resources;103622;2012-06-07;NULL;NULL;Remoto;53;Loydie_Pl_Hum@consulting.com
00-8542295;Darius;Birchenough;1968-09-12;hombre;Research and Development;109535;2018-02-16;NULL;NULL;Remoto;55;Darius_Bi_Res@consulting.com
00-8571626;Jenn;Whitecross;1972-08-31;hombre;Training;81104;2010-01-11;NULL;NULL;Hibrido;51;Jenn_Wh_Tra@consulting.com
